grantee,url,Date Awarded,Period,Amount,Focus Area,Challenge,Goal,Project Team
Common Sounds,https://knightfoundation.org/grants/8086,11/30/2017,10/31/2018 - 06/30/2018,"$ 10,000.00",Arts,Community Arts Grantmaking,"To build shared cultural experiences in San Jose through Chamber Music Silicon Valley's program ""Common Sounds,"" an ensemble of Western classical musicians and global artists that composes and performs blended musical traditions.",Chamber Music Silicon Valley
Jazz in Macon,https://knightfoundation.org/grants/8077,01/23/2018,09/30/2018 - 04/30/2019,"$ 10,000.00",Arts,Community Arts Grantmaking,To increase access to live jazz performances through support for the Jazz Association of Macon's artist-in-residence program.,Jazz Association of Macon
Sandbox Projects,https://knightfoundation.org/grants/8093,12/01/2017,03/01/2018 - 03/01/2022,"$ 200,000.00",Arts,Community Arts Grantmaking,"To increase San Jose residents' access to contemporary art though multiyear support for “Sandbox Projects,” an ongoing series of site-specific installations at the San Jose Institute of Contemporary Art.",San Jose Institute of Contemporary Art
Emerging Artists Exhibition (2018-2022),https://knightfoundation.org/grants/8082,12/01/2017,02/02/2018 - 05/30/2022,"$ 150,000.00",Arts,Community Arts Grantmaking,To engage Macon residents with contemporary art by Southern artists through multiyear support for the Museum of Arts and Sciences annual Emerging Artists exhibition and expand the Museum's ability to add significant works of emerging artists to its permanent collection.,Museum of Arts & Sciences
Mill Hill Art Tech Toolshed,https://knightfoundation.org/grants/8078,01/23/2018,02/01/2018 - 08/31/2018,"$ 75,000.00",Arts,Community Arts Grantmaking,To provide artists living in and near the Mill Hill neighborhood with tools to incorporate technology into their artistic practice.,Macon Arts Alliance
Knight Projects in News Innovation,https://knightfoundation.org/grants/8067,11/15/2017,02/01/2018 - 01/31/2023,"$ 2,008,000.00","Technology, Journalism",Knight News Challenge,To prepare journalists for the transformational wave of technologies creating vast changes in the profession and in civic life.,Trustees of Columbia University in the City of New York
Black Lounge Film Series,https://knightfoundation.org/grants/7837,11/28/2016,02/01/2018 - 01/01/2019,"$ 60,000.00",Arts,Knight Arts Challenge,To bring the excellence of African-diaspora cinema to Overtown through a new monthly film series showcasing the black experience from around the world,Children’s Hope Chest of Dreams
Ceramics Studio in Downtown Macon,https://knightfoundation.org/grants/8076,11/30/2017,01/01/2018 - 12/31/2018,"$ 20,000.00",Arts,Community Arts Grantmaking,To support the work of Macon artists through the creation of a studio and exhibition space for pottery and ceramic arts at the 567 Center for Renewal.,The 567 Center for Renewal
Engaging Millennials on Instagram,https://knightfoundation.org/grants/8088,01/29/2018,01/01/2018 - 09/30/2018,"$ 20,000.00",Arts,Community Arts Grantmaking,To engage millennial audiences with San Jose arts and artists through a series of video campaigns designed for and published on Instagram.,KQED
Pan African Festival Homecoming,https://knightfoundation.org/grants/8079,01/23/2018,01/01/2018 - 05/01/2018,"$ 75,000.00",Arts,Community Arts Grantmaking,To support the Tubman Museum's production of the 2018 Pan African Festival as it expands access for Macon residents to performances that celebrate the African Diaspora.,"Tubman African American Museum, Inc."
Taking Historypin’s Storybox to Scale with Public Libraries,https://knightfoundation.org/grants/8071,11/15/2017,01/01/2018 - 12/31/2018,"$ 250,000.00","Journalism, Technology",Knight News Challenge,"To scale Knight’s existing Storybox grant which will promote story sharing programs in libraries that aim to strengthen communities through increased empathy, understanding and personal connections.","Shift Design, Inc."
Mosaic Silicon Valley,https://knightfoundation.org/grants/8089,01/23/2018,01/01/2018 - 11/30/2018,"$ 50,000.00",Arts,Community Arts Grantmaking,To commission and present the collaborations of artists from different cultural communities in San Jose as a way to bridge disparate audiences.,Sangam Arts
The Dat Project,https://knightfoundation.org/grants/8073,11/15/2017,01/01/2018 - 02/28/2019,"$ 200,000.00","Journalism, Technology",Knight News Challenge,To increase the impact of Dat’s decentralized technology by establishing data services for academic and government institutions.,Code for Science & Society
When We Awaken,https://knightfoundation.org/grants/8087,01/23/2018,01/01/2018 - 12/16/2018,"$ 30,000.00",Arts,Community Arts Grantmaking,"To support the creation of Epic Immersive's ""When We Awaken,"" a play integrating virtual reality and live performance, at the Fallon House and Peralta Adobe in San Jose.",Epic Immersive Labs
RTDNA Training: Digital Transformation & Investigative Journalism,https://knightfoundation.org/grants/8097,11/07/2017,01/01/2018 - 12/31/2019,"$ 55,000.00",Journalism,,To promote journalistic excellence by supporting training and the spread of best practices for innovation in the television news industry.,Radio and Television News Directors Foundation
Disinformation Action Lab,https://knightfoundation.org/grants/8070,11/15/2017,01/01/2018 - 12/31/2018,"$ 250,000.00","Journalism, Technology",Knight News Challenge,"To analyze unfolding propaganda and disinformation threats in concert with a range of partners in the research, Internet platform, and civil society communities, resulting in a set of testable interventions that address these threats.",Data & Society Research Institute
Benefits Information Project,https://knightfoundation.org/grants/8069,11/15/2017,01/01/2018 - 01/31/2020,"$ 250,000.00",Technology,Knight News Challenge,To improve the delivery of government services to people in poverty by facilitating the process.,mRelief
Capital Growth Campaign,https://knightfoundation.org/grants/8066,10/02/2017,12/31/2017 - 12/31/2020,"$ 3,016,000.00",Technology,Knight News Challenge,To promote opportunities for underrepresented minorities in the technology industry by supporting the operational growth and sustainability of Code2040.,CODE2040
New parks for priority neighborhoods,https://knightfoundation.org/grants/8074,12/12/2017,12/18/2017 - 03/31/2019,"$ 785,000.00",Communities,,To improve public life in Akron’s North Hill and Summit Lake neighborhoods by developing two new parks.,Summit Metro Parks Foundation
DocumentCloud as a Platform,https://knightfoundation.org/grants/8072,11/15/2017,12/01/2017 - 11/30/2018,"$ 50,000.00","Journalism, Technology",Knight News Challenge,"To create new, innovative tools for journalists by opening DocumentCloud’s platform to a select number of contributors, in a program they are calling the News Nerds in Residence.",DocumentCloud
Reach: Spaces for Stories,https://knightfoundation.org/grants/8068,11/15/2017,11/30/2017 - 11/15/2017,"$ 250,000.00","Journalism, Technology",Knight News Challenge,"We will design and build REACH, a platform for hosting and distributing high-resolution 3D
photogrammetry models of evergreen locations, which will allow journalists to advance
innovative storytelling by embedding their own interviews and multimedia material using a step
by step online guide.",Emblematic Group
Opera Cultura: Engaging New Audiences,https://knightfoundation.org/grants/8091,12/01/2017,11/01/2017 - 11/01/2020,"$ 75,000.00",Arts,Community Arts Grantmaking,"To support authenticity and technological innovation through multiyear funding for Opera Cultura, a San Jose-based opera company that creates work based on Hispanic culture.",Opera Cultura
Ampersand Guild: Supporting Macon Artists,https://knightfoundation.org/grants/8081,12/01/2017,11/01/2017 - 11/02/2020,"$ 50,000.00",Arts,Community Arts Grantmaking,"To support the growth of artistic excellence and audience engagement for Macon's independent artists through Ampersand Guild, an artist collective that provides studio space, equipment and performance space in downtown Macon.",Ampersand Guild
City Lights Theater,https://knightfoundation.org/grants/8092,12/06/2017,11/01/2017 - 07/31/2020,"$ 150,000.00",Arts,Community Arts Grantmaking,"To expand City Light Theater company's capacity to use immersive technology in theater performance, and to develop and implement a plan to build donor support.",City Lights Theater Company
IRE TV WATCHDOG NETWORK,https://knightfoundation.org/grants/8096,11/29/2017,11/01/2017 - 11/01/2020,"$ 390,000.00",Journalism,,"To advance journalistic excellence by building a network of local television journalists committed to producing investigative and data-driven stories through regional workshops, national conference fellowships, data bootcamp training and the sharing of best practices.",Investigative Reporters and Editors Inc
The Community Engagement Program and Multicultural Arts Leadership Institute,https://knightfoundation.org/grants/8090,12/06/2017,11/01/2017 - 06/30/2020,"$ 200,000.00",Arts,Community Arts Grantmaking,"To provide multiyear support of the School of Arts and Culture's Community Engagement Program (CEP) and Multicultural Arts Leadership Institute (MALI), offering residents of East San Jose high quality arts experiences and developing leadership skills for cultural leaders of color, increasing authenticity to place and inclusion in the San Jose arts ecosystem.",School of Arts and Culture at MHP
Growing Macon's Young Musicians,https://knightfoundation.org/grants/8080,12/01/2017,11/01/2017 - 11/02/2020,"$ 75,000.00",Arts,Community Arts Grantmaking,To increase engagement with the arts through expansion of access to music education for Macon's youth through multiyear support for the Otis Redding Foundation's Center for Creative Arts.,Otis Redding Foundation
Sustaining Bragg Jam,https://knightfoundation.org/grants/8083,12/01/2017,11/01/2017 - 11/02/2020,"$ 75,000.00",Arts,Community Arts Grantmaking,To aid Bragg Jam's transition from a volunteer-led organization to one run by professional staff through a multiyear grant to foster the arts in our resident cities.,Bragg Jam Inc.
Collaborative Efficiencies,https://knightfoundation.org/grants/8075,11/30/2017,11/01/2017 - 01/18/2019,"$ 7,000.00",Arts,Community Arts Grantmaking,To engage new audiences in Macon through a pilot marketing and administration partnership between the Grand Opera House and Nutcracker of Middle Georgia.,Mercer University
Carlos Rolón/Dzine at San Jose Airport,https://knightfoundation.org/grants/8085,11/02/2017,10/30/2017 - 10/29/2018,"$ 5,000.00",Arts,Community Arts Grantmaking,"To support MACLA to program public art installations at the San Jose International Airport, in partnership with the City of San Jose, for one year.",Movimiento de Arte y Cultura Latino Americana de San Jose
The Propeller Group,https://knightfoundation.org/grants/8084,11/30/2017,10/27/2017 - 03/30/2018,"$ 50,000.00",Arts,Community Arts Grantmaking,"To foster the arts through support of the San Jose Museum of Art's exhibition and audience engagement programming related to the first major survey of the renowned Vietnamese art collective, The Propeller Group, increasing the inclusion of diverse voices featured within the museum.",San Jose Museum of Art Association
StoryCorps Technology Infrastructure,https://knightfoundation.org/grants/8047,09/19/2017,10/01/2017 - 11/01/2019,"$ 600,000.00",Technology,,"To support the collection, preservation and sharing of community history by supporting the ongoing development and sustainability of StoryCorps’ technology.","StoryCorps, Inc."
New Americans Campaign,https://knightfoundation.org/grants/8061,09/20/2017,10/01/2017 - 09/30/2019,"$ 1,508,000.00",Communities,,To support the citizenship application process and nonpartisan education of lawful permanent residents in Knight communities to increase the number of those residents applying for citizenship.,Immigrant Legal Resource Center
Trusted Networks,https://knightfoundation.org/grants/8049,09/22/2017,10/01/2017 - 11/01/2019,"$ 912,500.00",Journalism,,"To promote journalistic excellence by supporting transparency, listening and storytelling tools for online conversations with machine learning applied to data sources such as Twitter, Facebook, Reddit, Google Search and Wikipedia.",Cortico
Trusting News Project,https://knightfoundation.org/grants/8053,09/22/2017,10/01/2017 - 03/31/2019,"$ 100,000.00",Journalism,,To promote trust in journalism by supporting experimentation and training around new storytelling methods to demonstrate the value of fact based reporting for communities.,Reynolds Journalism Institute
The Kneeland Project 2018 & 2019 Conferences,https://knightfoundation.org/grants/8098,10/23/2017,10/01/2017 - 09/30/2019,"$ 50,000.00",Journalism,,"To promote journalistic excellence by supporting the Carole Kneeland Project for Responsible Television Journalism in convening and training broadcast and digital newsroom leadership around community engagement, ethics, and digital strategy.",The Carol Kneeland Project for Responsible Television Journalism
Middlebury Community Development Corporation,https://knightfoundation.org/grants/8058,09/20/2017,09/30/2017 - 12/31/2019,"$ 240,000.00",Communities,,To improve economic development in Akron’s Middlebury neighborhood by supporting a strategic planning process for a pilot community development corporation.,The Well Community Development Corporation
North Akron Community Development Corporation,https://knightfoundation.org/grants/8057,09/20/2017,09/30/2017 - 09/30/2019,"$ 240,000.00",Communities,,To improve economic development in Akron’s North Hill neighborhood by supporting a strategic planning process for a pilot community development corporation.,North Akron Community Development Corporation
Local TV Initiative: Reinventing Local TV News,https://knightfoundation.org/grants/8094,12/01/2017,09/30/2017 - 12/31/2020,"$ 1,908,000.00",Journalism,,To promote informed and engaged communities by supporting journalistic excellence and digital and broadcast innovation in local television news.,Arizona State University Foundation
Diversity Pipeline for Local TV News,https://knightfoundation.org/grants/8095,12/01/2017,09/18/2017 - 09/20/2020,"$ 250,000.00",Journalism,,To increase diversity in the field of journalism by supporting the Emma Bowen Foundation's successful internship-to-hire programs for college students of color.,Emma Bowen Foundation
Kenmore Community Development Corporation,https://knightfoundation.org/grants/8056,09/20/2017,09/11/2017 - 09/01/2019,"$ 240,000.00",Communities,,To improve economic development in Akron’s Kenmore neighborhood by supporting a strategic planning process for a pilot community development corporation.,Kenmore Community Development Corporation
Florida Hurricane Relief,https://knightfoundation.org/grants/8039,09/06/2017,09/08/2017 - 12/31/2017,"$ 250,000.00",,,"To support preparation, relief and recovery efforts in South Florida resulting from Hurricane Irma.",American Red Cross
Sundance Labs Initiative 2.0,https://knightfoundation.org/grants/8064,07/10/2017,09/01/2017 - 08/31/2020,"$ 1,500,000.00",Arts,,"To renew the Sundance Labs Initiative, a program that identifies and develops emerging film talent in the eight Knight resident communities.",Sundance Institute
Museum Tech Incubation Track,https://knightfoundation.org/grants/7957,03/20/2017,09/01/2017 - 08/31/2018,"$ 250,000.00",,,"To accelerate the development of technology that engages museum visitors, by creating a museum technology track at NEW INC, the incubator and professional development program created by the New Museum.",New Museum
The FIU | Miami Urban Future Initiative,https://knightfoundation.org/grants/7932,03/23/2017,08/21/2017 - 12/31/2021,"$ 1,216,000.00",Communities,,"To expand economic opportunity in Greater Miami by supporting the FIU Miami Urban Future Initiative, which seeks to fill an existing research gap on economic, entrepreneurial, creative and technological assets in the region to provide evidence and inform a strategy to grow a broader, more inclusive innovation economy.",Florida International University
2017 KCIL Winner: Community Foundation Boulder County,https://knightfoundation.org/grants/8031,08/08/2017,08/01/2017 - 12/28/2018,"$ 65,000.00",Communities,Knight Community Information Lab,To equip the Community Foundation Boulder County to take a leadership role in addressing its community information needs by participating in the Knight Community Information Lab.,The Community Foundation-Boulder County
2017 KCIL Winner: Lancaster County Community Foundation,https://knightfoundation.org/grants/8033,08/08/2017,08/01/2017 - 12/28/2018,"$ 65,000.00",Communities,Knight Community Information Lab,To equip the Lancaster County Community Foundation to take a leadership role in addressing its community information needs by participating in the Knight Community Information Lab.,Lancaster County Community Foundation
2017 KCIL Winner: Cleveland Foundation,https://knightfoundation.org/grants/8030,08/21/2017,08/01/2017 - 12/28/2018,"$ 65,000.00",Communities,Knight Community Information Lab,To equip the Cleveland Foundation to take a leadership role in addressing its community information needs by participating in the Knight Community Information Lab.,The Cleveland Foundation
2017 KCIL Winner: Baltimore Community Foundation,https://knightfoundation.org/grants/8032,08/08/2017,08/01/2017 - 12/28/2018,"$ 65,000.00",Communities,Knight Community Information Lab,To equip the Baltimore Community Foundation to take a leadership role in addressing its community information needs by participating in the Knight Community Information Lab.,Baltimore Community Foundation
University Radio Foundation Inc,https://knightfoundation.org/grants/8063,08/01/2017,08/01/2017 - 12/31/2018,$ 100.00,Journalism,,"To address the growth in mobile news consumption by using the NPR One platform to deliver local news, expand overall audience and more deeply engage with the community.",University Radio Foundation Inc
Platform 2017-18 Pilot,https://knightfoundation.org/grants/8038,08/22/2017,08/01/2017 - 07/31/2018,"$ 208,000.00",Communities,,"To help launch Platform.Miami which will support early stage entrepreneurs through online and offline education modules, and an offering of best tools and services to better structure, setup, and grow companies.",Platform
Cultural Competency for Journalism Education,https://knightfoundation.org/grants/8029,06/30/2017,08/01/2017 - 09/28/2018,"$ 134,000.00",Journalism,,"To promote trust, diversity and excellence in journalism by supporting a pilot program for the development of cultural competency curriculum for journalism education.",Robert C. Maynard Institute for Journalism Education
Trust in News Initiative: First Draft Partner Network,https://knightfoundation.org/grants/8051,09/20/2017,08/01/2017 - 07/31/2018,"$ 250,000.00",Journalism,,To advance a robust news and information ecosystem built on consistent verification principles and workflows by supporting First Draft and a research and learning lab that will scale support and training for the news industry.,President and Fellows of Harvard College
Trust & News Initiative: Automating Fact-Checking,https://knightfoundation.org/grants/8050,07/10/2017,07/14/2017 - 07/01/2019,"$ 808,000.00",Journalism,,To accelerate innovation in the practice of fact checking by supporting new forms and technological approaches to increase accurate information and reduce the spread of misinformation.,Duke University
Diridon Station Study Tour,https://knightfoundation.org/grants/8044,04/06/2017,07/09/2017 - 11/30/2017,"$ 111,135.00",Communities,,"To support a study tour in the Netherlands and France for policymakers and agency heads to bring urgency and focus to planning Diridon Station, inspire a shared vision, spark a commitment to action and build relationships amongst key decision-makers.",SPUR
Startup Tech,https://knightfoundation.org/grants/8036,08/17/2017,07/01/2017 - 06/30/2018,"$ 250,000.00",Communities,,"To support young, aspiring entrepreneurs by expanding Startup Tech, a technology entrepreneurship course, to five additional program sites in Greater Miami public schools.",Network for Teaching Entrepreneurship
Macon Children's Hospital,https://knightfoundation.org/grants/8021,06/26/2017,07/01/2017 - 07/01/2021,"$ 4,008,000.00",Communities,,"To support construction of the Beverly Knight Olson Children’s Hospital, a planned $63 million facility that will be the only dedicated children’s hospital in Central Georgia.",Macon Children's Hospital
Your Voice Ohio,https://knightfoundation.org/grants/8055,06/16/2017,07/01/2017 - 06/30/2018,"$ 75,000.00",Journalism,,"To expand engaged journalism practices in Akron and other Ohio newsrooms by supporting a cohort of local media outlets to experiment with the adoption of digital tools, public discussion and collaboration in their workflow.",Jefferson Center
Veracity.ai - Disrupting Ad-Supported Online Misinformation,https://knightfoundation.org/grants/8019,06/22/2017,06/19/2017 - 06/19/2017,"$ 50,000.00","Journalism, Technology",Knight Prototype Fund: Arts and Technology,"Helping to curb the financial incentives of creating misleading content with automatically-updated lists of “fake news” websites and easy-to-deploy tools that allow ad buyers to block, in bulk, the domains where misinformation is propagated.",Veracity.ai
Calling Bullshit in the Age of Fake News,https://knightfoundation.org/grants/8006,06/22/2017,06/19/2017 - 06/19/2017,"$ 50,000.00","Journalism, Technology",Knight Prototype Fund: Arts and Technology,"Our intent is to develop a curriculum and set of tools for combatting misinformation and fake news—with a particular emphasis on data, figures, visualizations and statistics.",University of Washington
Social Media Interventions,https://knightfoundation.org/grants/8018,06/22/2017,06/19/2017 - 06/19/2017,"$ 50,000.00","Journalism, Technology",Knight Prototype Fund: Arts and Technology,"Experimenting with the effectiveness of combatting the spread of misinformation through real-time online interventions, such as direct messages to users who post or share false information.",Trustees of Boston University
Facts Matter,https://knightfoundation.org/grants/8007,06/22/2017,06/19/2017 - 06/19/2017,"$ 50,000.00","Journalism, Technology",Knight Prototype Fund: Arts and Technology,"Helping to improve trust in fact-checking, particularly among people who identify as conservative, through experiments including in-person events; a mobile-game that tracks misconceptions about specific facts; diverse commentators who would assess fact-checking reports; and a study of the language used in these reports to determine their effect on perceptions of trustworthiness.",Politifact
Immigration Lab,https://knightfoundation.org/grants/8011,06/22/2017,06/19/2017 - 06/19/2017,"$ 50,000.00","Journalism, Technology",Knight Prototype Fund: Arts and Technology,"This project aims to devise a comprehensive engagement plan for undocumented immigrants and the local community in Gainesville, Georgia. And to create alternative, more effective ways to reach them and to provide a reliable and fact-checked information source on critical issues, with an emphasis on immigration and national security policy.",Univision Communications
ChartCheck,https://knightfoundation.org/grants/8008,06/22/2017,06/19/2017 - 06/19/2017,"$ 50,000.00","Journalism, Technology",Knight Prototype Fund: Arts and Technology,"Addressing the spread of misinformation through charts, graphs and data visualizations by fact-checking these resources and publishing results. The team will also build tools to evaluate the spread of these charts on social media and the Internet.[RD1][RD1]Not in fluxx",Periscopic
News Quality Score Project,https://knightfoundation.org/grants/8015,06/22/2017,06/19/2017 - 06/19/2017,"$ 50,000.00","Journalism, Technology",Knight Prototype Fund: Arts and Technology,"Creating a tool to surface quality journalism from the web, at scale and in real-time, through algorithms and machine learning. The tool will evaluate and score content on criteria ranging from the notoriety of authors and publishers to an analysis of various components of the story structure.",Monday Note SAS
Putting Civic Online Reasoning in Civics Class,https://knightfoundation.org/grants/8017,06/22/2017,06/19/2017 - 06/19/2017,"$ 50,000.00","Journalism, Technology",Knight Prototype Fund: Arts and Technology,"Creating professional development resources for teachers to become better consumers of digital content, in addition to classroom-ready materials that they can use to help students find and assess information online.",The Board of Trustees of Leland Stanford Junior University
Who Said What,https://knightfoundation.org/grants/8020,06/22/2017,06/19/2017 - 06/19/2017,"$ 50,000.00","Journalism, Technology",Knight Prototype Fund: Arts and Technology,Helping people more easily fact-check audio and video news clips with a search tool that annotates millions of these clips and allows users to explore both what is said and the identity of the speaker.,Joostware AI Research Corporation
Breaking Filter Bubbles in Science Journalism,https://knightfoundation.org/grants/8004,06/22/2017,06/19/2017 - 06/19/2017,"$ 50,000.00","Journalism, Technology",Knight Prototype Fund: Arts and Technology,We will test the hypothesis that we can improve the reach of accurate science journalism by using decision science and digital platforms to tailor content to diverse communities.,"University of California, Santa Cruz"
NewsTracker.org,https://knightfoundation.org/grants/8016,06/22/2017,06/19/2017 - 06/19/2017,"$ 50,000.00","Journalism, Technology",Knight Prototype Fund: Arts and Technology,"Developing a tool that combines online news content with engagement data from social media and other sources to help journalists and others better understand the scale, scope and shape of the misinformation problem. The tool will enable content analysis by gathering data about what is being written, by whom, where it is distributed, and the size of the audience consuming it.",The Greater Washington Educational Telecommunications Association
Improving Youth Civic Engagement through KQED Learn,https://knightfoundation.org/grants/8013,06/22/2017,06/19/2017 - 06/19/2017,"$ 50,000.00","Journalism, Technology",Knight Prototype Fund: Arts and Technology,"Encouraging young people to ask critical questions that deepen learning and improve media literacy through KQED Learn, a free online platform for students and teachers that reveals ways to ask good questions, investigate answers and share conclusions.",KQED
The Glorious Contextubot,https://knightfoundation.org/grants/8010,06/22/2017,06/19/2017 - 06/19/2017,"$ 50,000.00","Journalism, Technology",Knight Prototype Fund: Arts and Technology,The Glorious ContextuBot will help people become better consumers of online audio and video content through a tool that provides the original source of sound bites and when they have been covered on the news.,Bad Idea Factory
News Inequality Project,https://knightfoundation.org/grants/8014,06/22/2017,06/19/2017 - 06/19/2017,"$ 50,000.00","Journalism, Technology",Knight Prototype Fund: Arts and Technology,Developing a web-based analytics dashboard to help media organizations and community organizers understand how – and how often – different communities are covered in news outlets over time.,Hamdan Azhar
